id	title
4tlUS1FBju0	#Shorts / [날씨] 더 따뜻해져, 일교차 극심‥미세먼지 나쁨 (2023.03.29/뉴스투데이/MBC)
OKXQNN1sU7Q	#Shorts / [이 시각 세계] 금속탐지기로 2억 원 가치 금덩어리 발견 (2023.03.29/뉴스투데이/MBC)
PK92POrk0EQ	"#Shorts / [와글와글] 인기 '카스텔라'에서 금지 물질 ‥""""많이 사 먹었는데 어쩌나"""" (2023.03.29/뉴스투데이/MBC)"
vxxI3sqsrAM	#Shorts / [이 시각 세계] 운석에 손상된 소유즈 우주선 지구 귀환 (2023.03.29/뉴스투데이/MBC)
fIacz5dLRRE	#Shorts / 미국 초등학교 또 총기 난사 (2023.03.28/뉴스데스크/MBC)
Vz_TceUWnXk	#Shorts / '볼 판정' 로봇 심판‥'고교야구 실전 투입' (2023.03.28/뉴스데스크/MBC)
zgJqFwBr7eE	"#Shorts / """"왜 빵빵 거려""""‥3km 보복운전 한 오토바이 운전자 구속 (2023.03.28/뉴스데스크/MBC)"
WE5Z5upjTdg	#Shorts / 잇따른 실언에 김재원 공개 경고‥'제명' 요구도 (2023.03.28/뉴스데스크/MBC)
GVCJcmro-RQ	"#Shorts / 野 """"오므라이스, 소맥의 대가""""‥'굴욕외교' 공세 가속화 (2023.03.28/뉴스데스크/MBC)"
EZCxRX8Z7RI	"#Shorts / [와글와글] """"한국기업 고문하실래요? 실험에 영국 의원 """"일당 1천6백만 원"""" (2023.03.28/뉴스투데이/MBC)"
pmPm5TbQdR8	#Shorts / [이 시각 세계] 미국, 가상화폐거래소 바이낸스·CEO 제소 (2023.03.28/뉴스투데이/MBC)
C5dKWUQYzzo	"#Shorts / [와글와글] """"다비드상 선정적"""" 논란되자‥""""직접 와서 봐"""" (2023.03.28/뉴스투데이/MBC)"
wp0WJWTJDww	#Shorts / [와글와글] 옆에서 불길 치솟는데 '태연한' 프랑스 시민들 (2023.03.28/뉴스투데이/MBC)
iacMbQbepBs	#Shorts / [이 시각 세계] 하늘로 3미터 '붕' 미국 고속도로서 차량 사고 (2023.03.28/뉴스투데이/MBC)
EphCqwM8Txg	#Shorts / [와글와글] 목숨과 맞바꾼 '좋아요'? 3층 건물서 운하에 '풍덩' (2023.03.28/뉴스투데이/MBC)
DsO_pSAepcw	#Shorts / [와글와글] 킥보드 한 대에 학생 3명이?‥'위험천만' 질주 (2023.03.28/뉴스투데이/MBC)
rV72jJmCheY	#Shorts / [이 시각 세계] 알리바바 마윈, 해외 떠돌다 1년여 만에 귀국 (2023.03.28/뉴스투데이/MBC)
xCdxcZLrgFM	"#Shorts / 김재원 국힘 최고위원 """"전광훈 목사가 우파진영 천하통일"""" (2023.03.27/뉴스데스크/MBC)"
OAH6fEuOuQM	전우원 마약수사대 압송,  5.18유족께 사과 결심한 이유?..”죄인이니까요” #Shorts (2023.03.28/MBC News)
Ki4oAvZ0eDA	#Shorts / 회삿돈으로 4억원대 페라리‥한국타이어 조현범 기소 (2023.03.27/뉴스데스크/MBC)
WAR8B_xylak	유아인 12시간 첫 피의자 조사..”일탈 합리화..반성”  #Shorts (2023.03.28/MBC News)
EhTNuqLtwy0	#Shorts / 일본, 또 교과서 왜곡‥'다케시마' 넣고 '강제동원' 뺄 듯 (2023.03.27/뉴스데스크/MBC)
fOcA20azqFM	2023년 3월 28일 (화) 오늘의 주요 뉴스 #Shorts
gBsh5IXYqaI	#Shorts / 50만 원도 아쉽다‥15.9% 이자대출에 이어진 발걸음 (2023.03.27/뉴스데스크/MBC)
8roPb4XGwhM	‘세로’ 가출 사건..국내외 패러디 봇물  #Shorts (2023.03.28/MBC News)
el2HUdubiYw	"전두환 손자 귀국 D-1.. """"저는 지금 뉴욕 공항입니다"""" #Shorts (2023.03.27/MBC News)"
gkAV8uZeiMw	#Shorts / 대형마트 전단에 시장 맛집이?‥첫 상생 모델 (2023.03.26/뉴스데스크/MBC)
-Ipez67ZSdY	#Shorts / 정순신 측, 학폭 아닌 '거주지 이전' 아들 전학 시도 (2023.03.27/뉴스외전/MBC)
azQZ-ISDUEk	#Shorts / [이 시각 세계] 이집트 람세스 2세 신전서 양 머리 미라 2천 개 발견 (2023.03.27/뉴스투데이/MBC)
rtDsS5c4Pi4	"#Shorts / [와글와글] """"하늘이 도왔네""""‥번지 점프 줄 끊겼는데도 생존 (2023.03.27/뉴스투데이/MBC)"
bZMF4TEyyNo	"#Shorts / 글로벌 은행 위기설‥""""국내 은행 이상 없어"""" (2023.03.27/12MBC뉴스)"
ceAavyMuWkE	"#Shorts / 대법원 """"집총·군사 훈련 없는 사회복무 거부는 처벌"""" (2023.03.27/뉴스투데이/MBC)"
VMzHhQ1qgKE	"#Shorts / [와글와글] 왜 시계를 풀었을까‥""""명품 시계라서"""" """"탁자에 부딪혀서"""" (2023.03.27/뉴스투데이/MBC)"
EQkQHsqohV0	"#Shorts / [문화연예 플러스] 래퍼 노엘, 아버지 사진 올리며 """"체할 것 같네"""" (2023.03.27/뉴스투데이/MBC)"
QlBOOCYThvs	"#Shorts / 이재용 등 CEO들 모아놓고 """"중국 배제하면 손해"""" (2023.03.27/뉴스투데이/MBC)"
W6DZVHc_1tQ	"#Shorts / 미국 덮친 초강력 토네이도‥""""마을이 사라졌다"""" (2023.03.27/뉴스투데이/MBC)"
