etag	id	date	channel	title	thumb_url	ch_title	tags	duration	view	likes	favorites	comments	topcs
P06FmIr0DzcOlHDzDaUNyhz0emw	R5ixrunKzVs	2022-10-25T07:30:07Z	UCF4Wxdo3inmxP-Y59wXDsFw	#Shorts / [날씨] 당분간 맑은 날씨에 대기 건조‥내일 낮 기온 서울 18도 (2022.10.25/뉴스외전/MBC)	https://i.ytimg.com/vi/R5ixrunKzVs/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT57S	2728	94.0	0	1.0	NA
vxPEM7rWy9JKkWqjlIABBpSS0jE	1wg0ee1w5IA	2022-10-25T07:15:01Z	UCF4Wxdo3inmxP-Y59wXDsFw	#Shorts / [와글와글] 어업용 밧줄에 걸린 혹등고래 구조작전 (2022.10.25/뉴스투데이/MBC)	https://i.ytimg.com/vi/1wg0ee1w5IA/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT42S	15544	204.0	0	6.0	NA
yMmCV9LQCH-lZlIMhkQX9mkQ9bM	-iXpGLX0GSk	2022-10-25T06:15:00Z	UCF4Wxdo3inmxP-Y59wXDsFw	#Shorts / [이 시각 세계] 코로나19 주요 증상, 콧물·재채기 부상 (2022.10.25/뉴스투데이/MBC)	https://i.ytimg.com/vi/-iXpGLX0GSk/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT36S	6435	80.0	0	3.0	NA
vn3Xj3rPHAZGFPjqxG4uvQ9lSmo	TWLz_oZm_h0	2022-10-25T05:30:03Z	UCF4Wxdo3inmxP-Y59wXDsFw	#Shorts / [와글와글] 간식 주던 남성 사망‥장례식 찾은 특별한 조문객 (2022.10.25/뉴스투데이/MBC)	https://i.ytimg.com/vi/TWLz_oZm_h0/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT38S	11136	199.0	0	3.0	NA
OqW3s-CFDzqhAUEQo10bb43c2zw	kTgdyZFnslM	2022-10-25T04:30:11Z	UCF4Wxdo3inmxP-Y59wXDsFw	"#Shorts / [이 시각 세계] ""미래에셋, 트위터 인수 참여"" (2022.10.25/뉴스투데이/MBC)"	https://i.ytimg.com/vi/kTgdyZFnslM/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT24S	4490	51.0	0	2.0	['https://en.wikipedia.org/wiki/Society']
oc4SBJjm-b6Nml47yf5lojSCqdA	02skYuBs2CQ	2022-10-25T03:45:00Z	UCF4Wxdo3inmxP-Y59wXDsFw	#Shorts / [와글와글] '훔쳐보면 안 돼' 필리핀의 '부정행위' 방지법 (2022.10.25/뉴스투데이/MBC)	https://i.ytimg.com/vi/02skYuBs2CQ/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT45S	4114	53.0	0	4.0	NA
FKIdVtRyvl5k8a0Ec8zaXFBcCUk	xD649yBPrsY	2022-10-25T03:30:09Z	UCF4Wxdo3inmxP-Y59wXDsFw	"#Shorts / [신선한 경제] ""500명 대기 중""‥6%대 금리에 접속 폭주 (2022.10.25/뉴스투데이/MBC)"	https://i.ytimg.com/vi/xD649yBPrsY/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT51S	2840	31.0	0	1.0	NA
bOqs7tMR7tWmhJXsAgUVU2F4F1c	WyoUADaIIr0	2022-10-25T03:15:02Z	UCF4Wxdo3inmxP-Y59wXDsFw	#Shorts / [문화연예 플러스] 방탄소년단 '완전체 화보' 일부 공개 (2022.10.25/뉴스투데이/MBC)	https://i.ytimg.com/vi/WyoUADaIIr0/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT26S	1885	31.0	0	0.0	NA
ARqefSYhZaT993ea7tNxW4qxM-M	Celf0Z0enUI	2022-10-25T02:45:00Z	UCF4Wxdo3inmxP-Y59wXDsFw	#Shorts / [이 시각 세계] 러시아, 이틀 째 '더티밤' 공세 (2022.10.25/뉴스투데이/MBC)	https://i.ytimg.com/vi/Celf0Z0enUI/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT43S	5013	40.0	0	3.0	NA
bqSkk5cjF5EJG3xhssCxik7bbOs	jNvPk7R_PeI	2022-10-25T02:15:02Z	UCF4Wxdo3inmxP-Y59wXDsFw	#Shorts / [문화연예 플러스] 김연아, 결혼 후 첫 활동은 '꿈나무 지도' (2022.10.25/뉴스투데이/MBC)	https://i.ytimg.com/vi/jNvPk7R_PeI/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT37S	4069	92.0	0	4.0	['https://en.wikipedia.org/wiki/Sport']
HjnQCqBzArfXVL8v0Jtb-9ARLuU	EDNHzVO2hF8	2022-10-25T01:45:00Z	UCF4Wxdo3inmxP-Y59wXDsFw	#Shorts / [와글와글] 행인을 표적 삼아‥뉴욕 지하철서 '묻지 마 밀치기' (2022.10.25/뉴스투데이/MBC)	https://i.ytimg.com/vi/EDNHzVO2hF8/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT42S	9678	89.0	0	11.0	NA
LpL-n2bQxl1jBt8t7d-jMtIVw3A	OkruAb-cVlM	2022-10-25T01:30:09Z	UCF4Wxdo3inmxP-Y59wXDsFw	#Shorts / [이 시각 세계] 미국 세인트루이스 고교서 총격 발생 (2022.10.25/뉴스투데이/MBC)	https://i.ytimg.com/vi/OkruAb-cVlM/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT29S	8277	75.0	0	5.0	NA
76L6A7WXObbYdknJ1T2ir8x_bjo	8vwH99j7itk	2022-10-25T01:15:00Z	UCF4Wxdo3inmxP-Y59wXDsFw	"#Shorts / [신선한 경제] 수도권 7만여 가구 ""2년 전보다 전세가 하락"" (2022.10.25/뉴스투데이/MBC)"	https://i.ytimg.com/vi/8vwH99j7itk/hqdefault.jpg	MBCNEWS	['MBC', 'MBC뉴스', '뉴스데스크', 'newsdesk', '뉴스투데이', 'newstoday', '8시뉴스', '아침뉴스', '뉴스', '정오뉴스', 'news']	PT26S	2716	37.0	0	0.0	NA
