index	videoId	title	thumbnails	viewCount	frame0Thumbnails	timestamp	channelHandle	channelId	channelTitle	channelThumbnails	duration
21	zLInQwy-KGo	직접 겪어보니 혼비백산..취재진이 겪은 지진 #Shorts (2023.02.22/MBC News)	[{'url': 'https://i.ytimg.com/vi/zLInQwy-KGo/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLDFEmB1EYDpVmZQX3yS6ML7EuCqZA', 'width': 405, 'height': 720}]	26000	[{'url': 'https://i.ytimg.com/vi/zLInQwy-KGo/frame0.jpg', 'width': 1080, 'height': 1920}]						50 seconds
22	uNqBsZGhNHQ	미리보는 개봉영화..진선규 주연 ‘카운트’ #Shorts (2023.02.22/MBC News)	[{'url': 'https://i.ytimg.com/vi/uNqBsZGhNHQ/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLBFHK2xBEe3CkTD02LG-ycGWB66YA', 'width': 405, 'height': 720}]	10000	[{'url': 'https://i.ytimg.com/vi/uNqBsZGhNHQ/frame0.jpg', 'width': 1080, 'height': 1920}]						45 seconds
23	Kev5iSS462c	하루종일 햇볕에 피부암.. 산재 첫 인정 #Shorts (2023.02.22/MBC News)	[{'url': 'https://i.ytimg.com/vi/Kev5iSS462c/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLDM0HIblYC1Zol0CBfUePyPKaqwIg', 'width': 405, 'height': 720}]	13000	[{'url': 'https://i.ytimg.com/vi/Kev5iSS462c/frame0.jpg', 'width': 1080, 'height': 1920}]						54 seconds
24	pK3jlKHSggE	배달 음식 더 비싸, “속았다”..”남는 게 없어” #Shorts (2023.02.22/MBC News)	[{'url': 'https://i.ytimg.com/vi/pK3jlKHSggE/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLCKOKlTVUZn-RKkxQLmww3E0ptRxw', 'width': 405, 'height': 720}]	9200	[{'url': 'https://i.ytimg.com/vi/pK3jlKHSggE/frame0.jpg', 'width': 1080, 'height': 1920}]						51 seconds
25	SJhavBz3Cns	위기가구 연료비 지원 ‘월 15만 원’으로 인상 등..미리보는 오늘 #Shorts (2023.02.22/MBC News)	[{'url': 'https://i.ytimg.com/vi/SJhavBz3Cns/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLDrTcqmo8fRU7KJHRwNLoL8PiXabA', 'width': 405, 'height': 720}]	6400	[{'url': 'https://i.ytimg.com/vi/SJhavBz3Cns/frame0.jpg', 'width': 1080, 'height': 1920}]						49 seconds
26	70fppuueIhc	동성부부 사실혼 “건보 피부양자 인정..차별 안돼”  #Shorts (2023.02.22/MBC News)	[{'url': 'https://i.ytimg.com/vi/70fppuueIhc/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLDuEyiM0D_-SYxt6FeA5yRuo8jfdw', 'width': 405, 'height': 720}]	9200	[{'url': 'https://i.ytimg.com/vi/70fppuueIhc/frame0.jpg', 'width': 1080, 'height': 1920}]						1 minute
27	-OMozmqhkhg	2023년 2월 22일 (수) 오늘의 주요 뉴스 #Shorts	[{'url': 'https://i.ytimg.com/vi/-OMozmqhkhg/hq720_2.jpg?sqp=-oaymwEkCJgDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLB7-zqnddAgEru7qf5z0GKdnE58PQ', 'width': 408, 'height': 720}]	9300	[{'url': 'https://i.ytimg.com/vi/-OMozmqhkhg/frame0.jpg', 'width': 610, 'height': 1076}]						1 minute
28	nHA6LGwL1w0	미리보는 오늘/노란봉투법, 하이브, 국힘 합동연설회 #Shorts (2023.02.21/MBC News)	[{'url': 'https://i.ytimg.com/vi/nHA6LGwL1w0/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLBdVWkI0q07lz3pSjthIhG8eXbYqQ', 'width': 405, 'height': 720}]	4200	[{'url': 'https://i.ytimg.com/vi/nHA6LGwL1w0/frame0.jpg', 'width': 1080, 'height': 1920}]						58 seconds
29	lM4mJVjxnKY	’미개봉’ 1세대 아이폰 경매서 8천200만원에 팔려 #Shorts (2023.02.21/MBC News)	[{'url': 'https://i.ytimg.com/vi/lM4mJVjxnKY/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLCgJ6SzJGsDGutHa4dD1UPVO8L5ng', 'width': 405, 'height': 720}]	7600	[{'url': 'https://i.ytimg.com/vi/lM4mJVjxnKY/frame0.jpg', 'width': 1080, 'height': 1920}]						46 seconds
30	ljTRkanYw_4	60여명 사상 ‘과천 방음터널 화재’ 인재였다 #Shorts (2023.02.21/MBC News)	[{'url': 'https://i.ytimg.com/vi/ljTRkanYw_4/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLDh98hFD-V4-0jEqEghd63nCPbJJg', 'width': 405, 'height': 720}]	5600	[{'url': 'https://i.ytimg.com/vi/ljTRkanYw_4/frame0.jpg', 'width': 1080, 'height': 1920}]						1 minute
31	KOr_jE0PKy8	개와 상어의 대결 #Shorts (2023.02.21/MBC News)	[{'url': 'https://i.ytimg.com/vi/KOr_jE0PKy8/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLBBqqmgpqUa-KbTG3tyqcV4w0XoQg', 'width': 405, 'height': 720}]	8300	[{'url': 'https://i.ytimg.com/vi/KOr_jE0PKy8/frame0.jpg', 'width': 1080, 'height': 1920}]						33 seconds
32	3M0HnYHSMWM	“영화가 따로 없네”..운전자 구한 시민들 #Shorts (2023.02.21/MBC News)	[{'url': 'https://i.ytimg.com/vi/3M0HnYHSMWM/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLC_sLVP6qJF6EPDWoKHPdlnQ5RqyQ', 'width': 405, 'height': 720}]	8100	[{'url': 'https://i.ytimg.com/vi/3M0HnYHSMWM/frame0.jpg', 'width': 1080, 'height': 1920}]						42 seconds
33	iLBBVyudxao	돌잔치 답례품이 생존배낭..각종 재난 소식에 수요 늘어 #Shorts (2023.02.21/MBC News)	[{'url': 'https://i.ytimg.com/vi/iLBBVyudxao/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLAlqkuICXeYLXNtoeLpNmV6xxlK2Q', 'width': 405, 'height': 720}]	3300	[{'url': 'https://i.ytimg.com/vi/iLBBVyudxao/frame0.jpg', 'width': 1080, 'height': 1920}]						43 seconds
34	ai1SZl_95zM	튀르키예 또다시 6.4 규모 지진..200여명 사상 #Shorts (2023.02.21/MBC News)	[{'url': 'https://i.ytimg.com/vi/ai1SZl_95zM/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLB5N2ylkIYcPtOa6eieP-MobpqDmA', 'width': 405, 'height': 720}]	3600	[{'url': 'https://i.ytimg.com/vi/ai1SZl_95zM/frame0.jpg', 'width': 1080, 'height': 1920}]						1 minute
35	RNTsLZjmeGk	초음속 'K 전투기' KF-21 4호기 최초 비행영상 공개..조종사 2명 타는 복좌형 전투기 #Shorts (2023.02.20/MBC News)	[{'url': 'https://i.ytimg.com/vi/RNTsLZjmeGk/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLBXLzdg7yLSv301NgazJYgTb0ys9A', 'width': 405, 'height': 720}]	47000	[{'url': 'https://i.ytimg.com/vi/RNTsLZjmeGk/frame0.jpg', 'width': 1080, 'height': 1920}]						58 seconds
36	HHLr8DDERGk	B-1B 폭격기 등 10여대 떴다…北 ICBM 맞대응 한미연합훈련 현장  #Shorts (2023.02.20/MBC News)	[{'url': 'https://i.ytimg.com/vi/HHLr8DDERGk/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLDeK62pa53aBeWsM25l4XFt2SJRqQ', 'width': 405, 'height': 720}]	8000	[{'url': 'https://i.ytimg.com/vi/HHLr8DDERGk/frame0.jpg', 'width': 1080, 'height': 1920}]						57 seconds
37	PV0IUTVRfVI	코스피 3주째 2400 ‘박스권’..제자리걸음 이유는? #Shorts (2023.02.20/MBC News)	[{'url': 'https://i.ytimg.com/vi/PV0IUTVRfVI/hq720_2.jpg?sqp=-oaymwEkCJUDENAFSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLD5X6bnf4X3gJCoGf0sPzhMWuTM_Q', 'width': 405, 'height': 720}]	5200	[{'url': 'https://i.ytimg.com/vi/PV0IUTVRfVI/frame0.jpg', 'width': 1080, 'height': 1920}]						1 minute
38	oWBfIt3nkPc	가볍게 산 '짝퉁' 양말 처벌받을 수 있으니 주의 #Shorts /(2023.02.17/뉴스프리데스크/MBC)	[{'url': 'https://i.ytimg.com/vi/oWBfIt3nkPc/hq2.jpg?sqp=-oaymwEkCMoBEOgCSFryq4qpAxYIARUAAAAAJQAAyEI9AICiQ3gB0AEB&rs=AOn4CLA62RFqnzAyTtByltYIqzVuiqaJXw', 'width': 202, 'height': 360}]	8700	[{'url': 'https://i.ytimg.com/vi/oWBfIt3nkPc/frame0.jpg', 'width': 270, 'height': 480}]						55 seconds
